fecha,tmax,tmin,rad
1/1/2018,29.5,9.8,31.2
2/1/2018,28.2,14.6,24.1
3/1/2018,31.3,13.6,30.7
4/1/2018,34.3,18.9,17.6
5/1/2018,25,14.2,22.9
6/1/2018,26,9.6,31.4
7/1/2018,31.5,13.4,29.9
8/1/2018,34.6,15.4,30.5
9/1/2018,32.5,19.4,32.3
10/1/2018,31.6,18.4,31.6
11/1/2018,29,20.4,22.3
12/1/2018,28,19.3,12.9
13/1/2018,23.5,16,21.4
14/1/2018,21,13.8,17
15/1/2018,27.5,8.4,31.1
16/1/2018,28.6,11.8,18.2
17/1/2018,27.5,17.4,16.8
18/1/2018,29.9,12,24.2
19/1/2018,30.5,11.8,30.6
20/1/2018,33,16.6,27.8
21/1/2018,31,18.6,28
22/1/2018,30.5,19.8,27.7
23/1/2018,30.2,18.3,23.5
24/1/2018,22.5,12.2,31
25/1/2018,31.3,7.4,29.3
26/1/2018,28,13.2,28.8
27/1/2018,28.5,16.6,20.5
28/1/2018,28,13.8,30.9
29/1/2018,30,13.2,30.6
30/1/2018,31,8.8,27.9
31/1/2018,31.5,17,27.2
1/2/2018,32.5,15.2,28.9
2/2/2018,27.5,14,29.9
3/2/2018,28,12.2,29.2
4/2/2018,29,15.4,26
5/2/2018,33.5,18.4,28.6
6/2/2018,34,19.7,27.8
7/2/2018,34.5,20.5,27
8/2/2018,33.5,18.1,25.5
9/2/2018,24.5,14,23.2
10/2/2018,24.5,10,26.5
11/2/2018,18,8.4,24.5
12/2/2018,25,6.3,28.9
13/2/2018,27,10,28.6
14/2/2018,29.6,11.7,28.7
15/2/2018,29.4,13.7,27.4
16/2/2018,31,17.6,26.7
17/2/2018,31,19,20.7
18/2/2018,34.5,19.4,26.1
19/2/2018,29,18.2,21.4
20/2/2018,23.4,14.3,20.3
21/2/2018,23.5,14.4,21.9
22/2/2018,30,8.9,26.6
23/2/2018,23.2,12.5,24.9
24/2/2018,24.5,10.8,24.4
25/2/2018,26,10.2,25.3
26/2/2018,29.4,12.2,25.9
27/2/2018,29.4,12.2,24.3
28/2/2018,24.6,16.2,15.7
1/3/2018,30.6,14.3,24.6
2/3/2018,32.6,17.1,14.8
3/3/2018,31.5,18.2,24.3
4/3/2018,32,18.2,21.5
5/3/2018,22.5,11.6,22
6/3/2018,23.8,8.2,24.9
7/3/2018,29.4,10.2,24.8
8/3/2018,29.5,12.2,24.6
9/3/2018,30.8,12.4,23.8
10/3/2018,30.5,14.8,14.8
11/3/2018,20,11.6,15.9
12/3/2018,24.2,8.1,23.5
13/3/2018,21.6,13.2,23.3
14/3/2018,26.5,7.8,22.4
15/3/2018,21.2,9.6,22.8
16/3/2018,25.4,7.2,23.2
17/3/2018,28.5,12.2,19.7
18/3/2018,21.4,13.6,7.7
19/3/2018,24.6,9,22.5
20/3/2018,18,11.8,18.4
21/3/2018,18.3,7.4,21
22/3/2018,22,10.2,8.6
23/3/2018,27,11.3,15.3
24/3/2018,19.5,10.8,12
25/3/2018,15.5,6.4,14.4
26/3/2018,19.5,4.6,16.4
27/3/2018,23,5.9,20.1
28/3/2018,26.3,13.8,18.6
29/3/2018,31,14,19.3
30/3/2018,27.5,14.2,16.9
31/3/2018,22,13.6,10.2
1/4/2018,21.5,11.8,11.4
2/4/2018,24.5,11,18.4
3/4/2018,25.5,9.8,18.7
4/4/2018,27.2,12.7,17.9
5/4/2018,25.3,14.8,11
6/4/2018,15.3,11.1,6.4
7/4/2018,22.5,12.6,14.3
8/4/2018,22,13.2,7.6
9/4/2018,23.6,15.2,12.7
10/4/2018,22.5,18,6.2
11/4/2018,21.2,15.8,6.1
12/4/2018,17.8,9.2,16.9
13/4/2018,18.8,6.2,17.3
14/4/2018,19,10,14.7
15/4/2018,23,11.6,16.4
16/4/2018,23.7,15,12.2
17/4/2018,25,15.4,10.1
18/4/2018,24.2,14,10.4
19/4/2018,25.6,16.4,13.6
20/4/2018,27.5,16.3,11.6
21/4/2018,26.5,14.6,14.1
22/4/2018,22.7,17.8,6.5
23/4/2018,18.8,11.4,13.8
24/4/2018,17.8,8,7
25/4/2018,20.7,14.2,6.7
26/4/2018,20,14.2,5.2
27/4/2018,20.4,13.2,5.1
28/4/2018,18,9,7.3
29/4/2018,17.5,11.8,5
30/4/2018,19,8.2,12.7
1/5/2018,17.5,3.6,11.7
2/5/2018,19.6,8.6,9.6
3/5/2018,21,13.2,10.9
4/5/2018,14,11.2,4.8
5/5/2018,16.5,9.8,8.9
6/5/2018,20,11.4,7.9
7/5/2018,22.5,14.6,11
8/5/2018,19,16.5,4.6
9/5/2018,25.5,16.4,9.8
10/5/2018,23.3,13,8.4
11/5/2018,20.4,12,11.2
12/5/2018,20.4,8.2,12
13/5/2018,17.5,5.6,11.5
14/5/2018,16.4,11.3,4.3
15/5/2018,15.4,7,11.7
16/5/2018,14.5,4.2,9.7
17/5/2018,9,5.7,4.2
18/5/2018,17.3,8.2,10.2
19/5/2018,14,6.6,8.3
20/5/2018,14.5,5.8,7.6
21/5/2018,14.6,8.9,8.8
22/5/2018,15,4.6,10.7
23/5/2018,16,4,10.1
24/5/2018,18.5,3.8,10.5
25/5/2018,17.5,7,10.6
26/5/2018,17,6,9.7
27/5/2018,21,8,9.7
28/5/2018,16.6,11,7.2
29/5/2018,16.5,7,4.9
30/5/2018,15.4,8.8,7
31/5/2018,15.8,6.2,6.4
1/6/2018,10.6,5,5.3
2/6/2018,10.5,2.8,6.2
3/6/2018,9.5,6.6,3.7
4/6/2018,9.8,4.8,4.2
5/6/2018,10.4,1.4,8.1
6/6/2018,13.8,1.6,8.7
7/6/2018,9.2,5.4,8.4
8/6/2018,14.7,3,6.6
9/6/2018,15.5,4.4,7.8
10/6/2018,14,6.2,4.1
11/6/2018,11.4,8,2.8
12/6/2018,8.5,7.3,0.5
13/6/2018,10.4,4.8,7.5
14/6/2018,9.2,1.4,7.8
15/6/2018,11,0.5,9.3
16/6/2018,10.5,-0.2,9.3
17/6/2018,13,3,9.1
18/6/2018,16.8,5.3,8.7
19/6/2018,18.5,7,8.5
20/6/2018,15.2,2.8,9.2
21/6/2018,12.4,4.3,9.4
22/6/2018,15.4,1.8,9
23/6/2018,8.6,1.4,8.9
24/6/2018,10,-2,9.7
25/6/2018,14.5,-0.8,9.1
26/6/2018,16.8,4.3,5.9
27/6/2018,18.5,8.4,7
28/6/2018,17.2,6.2,8.1
29/6/2018,18.2,5.5,8.9
30/6/2018,11,0.8,7.4
1/7/2018,11,4,2.1
2/7/2018,10.6,2.8,7.7
3/7/2018,9.6,-1,7.1
4/7/2018,8,-0.4,4
5/7/2018,8.8,2.4,5.1
6/7/2018,10,3,5.2
7/7/2018,10.5,7.4,2.3
8/7/2018,11,6.2,4.7
9/7/2018,10.5,2.8,6.9
10/7/2018,10.4,-1,5.5
11/7/2018,14.3,4.2,8.3
12/7/2018,12.8,2.6,7.3
13/7/2018,16.4,5.8,5.8
14/7/2018,17.2,8.4,5
15/7/2018,12,4,6.4
16/7/2018,8,1,4.6
17/7/2018,12,0.9,7.1
18/7/2018,10.3,8.7,2.8
19/7/2018,13.3,9.8,3
20/7/2018,11,6.2,6.6
21/7/2018,11.6,4.6,10.8
22/7/2018,11,3.2,8.1
23/7/2018,9.3,1.2,11.2
24/7/2018,10.3,-1,11.5
25/7/2018,12.5,-1.4,9.7
26/7/2018,14.6,7.2,6.5
27/7/2018,15.5,8.8,8.2
28/7/2018,12,9.8,2.3
29/7/2018,12.5,7.4,8.5
30/7/2018,12.4,3.5,10
31/7/2018,11,0.3,12.1
1/8/2018,10.4,0.5,9.5
2/8/2018,13,0.5,11.6
3/8/2018,14.4,2.6,7.8
4/8/2018,16.5,2.8,12
5/8/2018,16,7,6.4
6/8/2018,19.2,7.4,10.4
7/8/2018,13.8,8.9,7.3
8/8/2018,13.8,5.5,1.4
9/8/2018,8.6,5.2,9
10/8/2018,11.8,3.7,9.4
11/8/2018,12,5.4,5.3
12/8/2018,16.5,10.2,9.1
13/8/2018,13.5,9.2,1.9
14/8/2018,13.4,7.8,12.2
15/8/2018,14,1.7,14.1
16/8/2018,16,4,13.7
17/8/2018,17.6,7.9,11.9
18/8/2018,13.5,7.2,2.4
19/8/2018,9.5,2.8,12.7
20/8/2018,9.5,1.4,14
21/8/2018,12.4,-1.1,15.5
22/8/2018,13.2,0.9,15.4
23/8/2018,14.3,6.7,8.4
24/8/2018,13.5,5.8,13.3
25/8/2018,12.5,2.8,14.9
26/8/2018,21.4,3,15.4
27/8/2018,21,9,14.3
28/8/2018,22.6,8,16.1
29/8/2018,14.6,9.2,16
30/8/2018,11.6,4.8,10.1
31/8/2018,10,0,14.7
1/9/2018,12.5,-0.5,16.3
2/9/2018,15.5,3.2,14
3/9/2018,20,6.3,16.4
4/9/2018,19.5,7.8,17.1
5/9/2018,21,8.3,15.9
6/9/2018,21.5,9.2,17.6
7/9/2018,20.2,1.6,18.4
8/9/2018,17,2.8,17.3
9/9/2018,11.6,3.9,3.9
10/9/2018,14,8.2,7.7
11/9/2018,17.2,6.9,14.4
12/9/2018,14.6,10.8,4.3
13/9/2018,19.5,8.3,18.2
14/9/2018,19.4,5.7,18.3
15/9/2018,17.5,10,7
16/9/2018,17,13.5,6.7
17/9/2018,22.5,13,17.1
18/9/2018,19.5,12,7.5
19/9/2018,18,8.5,18
20/9/2018,20,4.2,19.3
21/9/2018,21.5,12.5,18.9
22/9/2018,20.5,9.6,12.2
23/9/2018,20,7.4,16.8
24/9/2018,19,6.4,13
25/9/2018,19.9,4.3,17.7
26/9/2018,17,7.8,17.5
27/9/2018,14.5,8,10
28/9/2018,15.1,9.7,4.6
29/9/2018,19,11,11.8
30/9/2018,18.5,7.2,12.4
1/10/2018,12.6,5,22.2
2/10/2018,18.4,1.5,23
3/10/2018,19.4,3,21.1
4/10/2018,19.6,3,21.9
5/10/2018,16.5,2.3,22.1
6/10/2018,19.5,4.8,23.9
7/10/2018,25,10.6,23.5
8/10/2018,24.5,10.6,7.3
9/10/2018,18,8.4,23.4
10/10/2018,14.5,3.8,23.9
11/10/2018,16.3,2,21.9
12/10/2018,16,7.8,12.3
13/10/2018,23,8.6,25.2
14/10/2018,26,10.8,25.4
15/10/2018,29,8,25.6
16/10/2018,27.5,12.4,22.6
17/10/2018,22.6,13.4,10.9
18/10/2018,19,9.4,23.6
19/10/2018,15.6,7.4,23.3
20/10/2018,18,5.8,22.7
21/10/2018,19,9.8,7.2
22/10/2018,19.5,9.8,24.8
23/10/2018,14.3,6.4,25.1
24/10/2018,13.2,1.7,6.9
25/10/2018,16.3,10.3,9.9
26/10/2018,17.6,9.5,15.3
27/10/2018,20.5,8.2,20
28/10/2018,20.5,12.4,14.2
29/10/2018,23.9,14.5,14.8
30/10/2018,18.5,15.7,4.4
31/10/2018,16,8.4,21.1
1/11/2018,13.6,3.5,28
2/11/2018,10.9,6.5,4.5
3/11/2018,24,7.6,24.6
4/11/2018,25.5,11.4,28.4
5/11/2018,22.4,13.4,18.4
6/11/2018,19.5,6.6,29.4
7/11/2018,20.5,1.8,30.8
8/11/2018,26,12.2,28.8
9/11/2018,31.7,15.2,23.3
10/11/2018,20.5,16.5,7.6
11/11/2018,17,14.8,5.1
12/11/2018,20.6,14.8,4.4
13/11/2018,19.2,14.6,12.4
14/11/2018,20,13.2,24.2
15/11/2018,18.8,9.6,27.5
16/11/2018,19.2,4.3,30.9
17/11/2018,20.5,10,15.9
18/11/2018,22,9.2,30.3
19/11/2018,27.5,9.6,31.1
20/11/2018,29,14.9,30.7
21/11/2018,30.6,17.8,30.3
22/11/2018,25.4,9.8,10.5
23/11/2018,17.7,8,27.5
24/11/2018,19,7.8,32.3
25/11/2018,27,6.6,24.7
26/11/2018,27.3,12.9,25.4
27/11/2018,26.6,13.3,23.5
28/11/2018,22.6,15.2,27.1
29/11/2018,22.3,13.6,21.8
30/11/2018,25,13.2,22.8
1/12/2018,16.8,8.8,22.3
2/12/2018,20,5,30.7
3/12/2018,21.5,7.8,32.1
4/12/2018,20.4,9.2,30.8
5/12/2018,16.5,9,19.1
6/12/2018,16.5,9,32.6
7/12/2018,25.3,3.6,32.9
8/12/2018,27,11.2,32.5
9/12/2018,27.5,13.2,20.4
10/12/2018,32,14,32
11/12/2018,28.4,16.6,24.1
12/12/2018,27,12,29.3
13/12/2018,20,11.9,5.7
14/12/2018,25.4,13.4,26.3
15/12/2018,28.5,11,32.6
16/12/2018,32.5,15.2,32.4
17/12/2018,26,10.8,30.8
18/12/2018,22.5,5.4,33.6
19/12/2018,26.6,9.5,29.2
20/12/2018,21.6,17.6,8.4
21/12/2018,22.3,16,20.8
22/12/2018,28,16.6,32.2
23/12/2018,32.5,16.2,31
24/12/2018,33.5,18.2,31.8
25/12/2018,32,18.6,32.7
26/12/2018,31,19,32.3
27/12/2018,30.4,17.8,18.3
28/12/2018,27.8,12.7,33.1
29/12/2018,29,14.4,27.2
30/12/2018,24.2,15.8,33.5
31/12/2018,26.5,12,30.6
